ts,phase,code,name,side,price,avwap,atr5,dev,tp,sl
2025-09-16 16:35:12,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:35:12,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:35:12,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:35:12,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:35:32,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:35:32,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:35:32,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:35:32,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:35:32,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:35:32,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:35:32,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:35:32,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:35:32,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:35:33,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:35:33,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:35:33,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:35:33,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:35:33,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:35:33,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:35:33,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:35:33,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:35:33,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:35:33,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:35:33,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:35:33,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:35:33,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:35:33,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:35:33,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:35:33,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:35:33,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:35:33,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:35:33,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:35:33,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:35:33,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:35:33,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:35:33,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:35:33,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:35:33,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:35:33,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:35:33,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:35:53,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:35:53,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:35:53,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:35:53,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:35:53,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:35:53,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:35:53,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:35:53,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:35:53,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:35:53,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:35:53,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:35:53,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:35:53,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:35:53,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:35:53,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:35:53,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:35:53,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:35:53,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:35:53,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:35:53,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:35:53,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:35:53,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:35:53,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:35:53,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:35:53,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:35:53,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:35:53,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:35:53,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:35:53,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:35:53,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:35:53,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:35:53,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:35:53,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:35:53,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:35:53,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:35:53,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:36:13,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:36:13,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:36:13,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:36:13,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:36:14,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:36:14,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:36:14,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:36:14,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:36:14,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:36:14,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:36:14,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:36:14,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:36:14,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:36:14,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:36:14,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:36:14,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:36:14,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:36:14,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:36:14,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:36:14,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:36:14,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:36:14,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:36:14,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:36:14,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:36:14,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:36:14,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:36:14,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:36:14,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:36:14,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:36:14,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:36:14,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:36:14,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:36:14,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:36:14,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:36:14,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:36:14,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:36:34,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:36:34,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:36:34,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:36:34,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:36:34,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:36:34,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:36:34,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:36:34,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:36:34,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:36:34,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:36:34,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:36:34,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:36:34,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:36:34,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:36:34,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:36:34,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:36:34,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:36:34,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:36:34,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:36:34,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:36:34,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:36:34,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:36:34,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:36:34,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:36:34,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:36:34,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:36:34,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:36:34,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:36:34,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:36:35,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:36:35,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:36:35,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:36:35,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:36:35,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:36:35,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:36:35,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:36:55,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:36:55,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:36:55,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:36:55,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:36:55,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:36:55,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:36:55,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:36:55,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:36:55,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:36:55,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:36:55,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:36:55,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:36:55,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:36:55,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:36:55,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:36:55,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:36:55,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:36:55,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:36:55,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:36:55,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:36:55,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:36:55,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:36:55,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:36:55,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:36:55,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:36:55,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:36:55,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:36:55,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:36:55,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:36:55,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:36:55,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:36:55,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
2025-09-16 16:36:55,REG,4507,塩野義製薬,SHORT,2658.500,2620.190,1.800,21.283,2657.600,2658.950
2025-09-16 16:36:55,REG,6367,ダイキン工業,SHORT,17720.000,17664.756,17.000,3.250,17711.500,17724.250
2025-09-16 16:36:55,REG,6861,キーエンス,LONG,56210.000,56750.024,32.000,-16.876,56226.000,56202.000
2025-09-16 16:36:55,REG,6273,ＳＭＣ,LONG,44950.000,45112.118,48.000,-3.377,44974.000,44938.000
2025-09-16 16:37:15,REG,9432,ＮＴＴ,SHORT,161.500,161.353,0.100,1.473,161.450,161.525
2025-09-16 16:37:15,REG,9984,ソフトバンクグループ,LONG,18230.000,18259.214,10.000,-2.921,18235.000,18227.500
2025-09-16 16:37:15,REG,7203,トヨタ自動車,LONG,2889.000,2935.054,2.400,-19.189,2890.200,2888.400
2025-09-16 16:37:15,REG,6758,ソニーグループ,SHORT,4286.000,4233.689,5.600,9.341,4283.200,4287.400
2025-09-16 16:37:15,REG,8035,東京エレクトロン,LONG,22585.000,22978.162,20.000,-19.658,22595.000,22580.000
2025-09-16 16:37:15,REG,4063,信越化学,LONG,4416.000,4504.369,2.200,-40.168,4417.100,4415.450
2025-09-16 16:37:15,REG,6920,レーザーテック,LONG,16685.000,16857.376,10.000,-17.238,16690.000,16682.500
2025-09-16 16:37:15,REG,8058,三菱商事,LONG,3441.000,3475.949,1.800,-19.416,3441.900,3440.550
2025-09-16 16:37:15,REG,4568,第一三共,LONG,3544.000,3571.529,4.200,-6.555,3546.100,3542.950
2025-09-16 16:37:15,REG,6902,デンソー,LONG,2139.000,2170.343,2.000,-15.671,2140.000,2138.500
2025-09-16 16:37:15,REG,6098,リクルートホールディングス,SHORT,8481.000,8443.903,6.800,5.455,8477.600,8482.700
2025-09-16 16:37:15,REG,8766,東京海上ＨＤ,LONG,6458.000,6527.638,2.800,-24.871,6459.400,6457.300
2025-09-16 16:37:15,REG,4502,武田薬品,SHORT,4493.000,4460.845,1.600,20.097,4492.200,4493.400
2025-09-16 16:37:15,REG,2413,エムスリー,SHORT,2370.000,2324.057,2.100,21.878,2368.950,2370.525
